TimeDateStamp,Characteristics,MajorLinkerVersion,SizeOfInitializedData,AddressOfEntryPoint,CheckSum,DllCharacteristics,SectionMinEntropy,SectionMaxPhysical,SectionMaxChar,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryResource,ImageDirectoryEntrySecurity,Malware
1355916971,258,11,59904,71447,746584,32832,2.1990049586777065,573440,3221225536,3,97,0,147456,0,1
1248020731,41358,2,262144,645224,0,0,0.0,633748,3221225536,21,427,1,757760,0,1
1260053441,271,6,119808,12491,2018518872,32768,0.0,110456,3221225600,8,155,0,208896,643960,1
1376203892,258,11,276992,29756,345943,32832,2.1471744579359133,100794,3221225536,1,67,0,233472,308736,1
1299829942,33166,15,5632,64988,34535,0,5.784167019225425,57344,3791650912,1,4,0,61440,0,1
1247529507,34,9,199680,51656,270787,32832,0.2013443283882104,196608,3221225536,7,152,0,77824,0,1
1394726813,259,11,66560,69259,203536,33024,2.516463881205466,106534,3221225536,4,106,0,176128,164352,1
1363078305,258,8,321024,5339,396253,34112,0.0,178176,3221225536,3,41,0,20480,329728,1
1352840822,258,11,616448,250614,903776,32832,4.821389819276236,303606,3221225536,3,99,0,897024,0,1
1406108120,258,9,421376,15230,2018103064,33088,0.2975005573116089,552960,3758096416,4,7,0,557056,226816,1
1373162927,270,9,68096,12440,0,0,4.795049932972098,44312,3221225536,6,96,0,40960,0,1
1247529507,34,9,2270720,51656,2279806,32832,0.2013443283882104,2266592,3221225536,7,152,0,77824,0,1
1365958314,8450,10,2048,4267,0,320,0.0,576,3221225536,3,8,1,0,0,1
1365732791,258,11,249856,125323,410618,32832,3.028603073347823,145888,3221225536,1,66,0,352256,385536,1
1281368819,34,8,38400,362076,173091,0,0.0,157753,3758096480,3,132,0,393216,161792,1
1363078305,258,8,309760,5339,339375,34112,0.0,177152,3221225536,3,41,0,20480,318464,1
1247533492,8450,9,41984,74759,239958,0,4.379704050058947,179437,3221225536,4,119,5,196608,0,1
1240371148,258,9,5120,11200,49641,33088,0.8706611795178093,19721,3221225536,7,93,0,28672,0,1
1332027307,258,9,170496,283388,539046,0,4.019963379737914,272688,3221225536,6,44,0,462848,0,1
1431401995,8482,12,91648,49208,221552,320,3.5838909527829226,128084,3221225536,3,83,37,221184,212992,1
1291498586,258,9,108544,156788,289108,0,0.0,169920,3221225536,6,108,0,245760,0,1
1397061105,258,9,324608,8981,2018312520,33088,5.5459318644347855,283116,3221225536,4,98,0,163840,436224,1
1356226385,258,11,719360,71826,854710,32832,5.256963871409864,388690,3221225536,3,95,0,806912,0,1
1406108120,258,9,421376,15230,2018103056,33088,0.2975005573116089,552960,3758096416,4,7,0,557056,226816,1
1290097655,271,6,35328,84740,153019,0,0.0203931352360849,104938,3221226048,4,122,0,159744,0,1
1319523933,8462,6,471040,1273952,1308802,0,4.159874516254477,749986,3758096608,1,2,4,1216512,1244768,1
1318438070,783,2,42496,4400,0,0,0.0,118784,3761242176,6,131,0,0,0,1
944170767,271,6,16384,13831,0,0,2.337274998007598,12257,3758096416,5,40,0,28672,0,1
1439481072,8450,12,934912,11985205,0,320,0.0,5469076,3758096480,14,19,2,12087296,0,1
1230109207,291,9,8192,686832,0,32768,0.0,425984,3758096512,16,21,0,688128,0,1
1063093743,271,6,45056,9003,0,0,2.31103328392499,90112,3758096448,7,212,0,90112,0,1
1408892604,258,11,38400,56053,713927,32832,2.1349943853977065,89440,3221225536,1,80,0,126976,696768,1
545960175,271,6,43008,6255,0,0,0.0,249856,3758096416,1,10,0,0,0,1
708992537,33167,2,15360,40000,694610,0,0.0,37732,3221225536,8,96,0,69632,663408,1
1338413227,271,6,12288,4372,92908,0,0.0,28700,3221225536,1,27,0,45056,0,1
1318926288,271,6,24576,606400,0,0,0.0,475136,3758096512,2,7,0,610304,0,1
708992537,33167,2,4096,156400,0,0,0.0,98304,3758096512,4,6,0,159744,0,1
1260053604,271,6,169984,13662,16480454,32768,0.0,159960,3221225600,8,158,0,307200,16432824,1
1428715047,258,12,4096,5259,0,33088,0.3075441047596594,2628,3221225536,2,43,0,16384,0,1
1368310212,258,11,733696,98914,871005,32832,4.920099642602115,400978,3221225536,3,95,0,860160,0,1
1209823718,271,6,119808,12468,0,0,0.0,266240,3221225600,8,155,0,413696,0,1
1406108120,258,9,421376,15230,2018102328,33088,0.2975005573116089,552960,3758096416,4,7,0,557056,226816,1
1292577255,783,2,14848,14348,65973,32768,0.0,154280,3225419904,8,155,0,241664,0,1
1418741828,259,10,16384,1038384,0,32768,0.0,708608,3758096512,18,23,0,1044480,367624,1
1404892693,33167,2,53248,70588,2027529,32768,0.0,61740,3221225536,11,120,0,114688,2001664,1
1354237429,258,8,293376,5339,367465,34112,0.0,162304,3221225536,3,41,0,20480,302080,1
1408620493,258,11,38400,53175,764349,32832,2.1366512718555364,86560,3221225536,1,80,0,126976,715760,1
708992537,33166,2,21504,49600,1649542,32768,0.0,47336,3221225536,11,114,0,86016,1627656,1
1410780041,259,9,31744,16384,0,32768,4.618828572099545,53291,3221225536,7,137,0,86016,888416,1
1391514521,258,10,282112,5494,2018190656,33088,2.1048463591905904,263656,3221225536,3,74,0,61440,314368,1
1208139127,8462,7,3072,24576,30788,1024,0.0,8192,3758096480,3,61,56,16384,0,1
1402583019,8450,10,352768,538154,989050,320,4.956856861874891,600739,3221225536,14,1573,8,876544,954880,1
1440578985,259,11,876544,4096,1257035,33024,6.246819238854617,4866048,3758096416,21,24,0,4870144,1261232,1
1260053446,271,6,119808,12860,0,32768,0.0,110488,3221225600,8,155,0,192512,44648,1
1331210753,258,11,649728,267017,1000414,32832,4.895726594939669,345924,3221225536,3,97,0,942080,0,1
1436742318,8450,11,525824,280609,927173,64,0.7987032786794434,369783,3221225536,6,163,4,782336,0,1
1121409675,270,7,381952,35208,0,0,7.978082053768611,213308,3791650880,1,1,0,438272,0,1
1405429348,258,11,99840,90238,252096,33024,2.031465818636468,143102,3221225536,4,103,0,217088,233984,1
1264086709,35,9,512,4196,0,32768,0.9459056184226962,4174,1610612768,1,2,0,0,0,1
1159494966,8450,8,73216,17492,127892,320,3.295578629483727,68084,3221225536,7,98,2,122880,0,1
1016228819,271,6,995328,422112,0,0,0.0098453368514291,851000,3221225536,10,261,0,1527808,0,1
1392230476,258,11,130048,15741,213271,33088,2.7183438883560718,70652,3221225536,7,105,0,122880,192512,1
1398848208,258,11,851456,17389,2018833040,33088,0.0,771744,3221225536,4,90,0,192512,957440,1
1355724997,258,11,711168,98210,847268,32832,4.6059630924449495,602330,3221225536,3,97,0,839680,0,1
708992537,33167,2,4096,160776,0,0,0.0,98304,4026531936,4,6,0,159744,0,1
1328024604,258,11,186368,282587,542608,32832,2.958446588473918,303294,3221225536,1,63,0,475136,479744,1
1431105171,14,1,24576,23926,0,15,2.410871287370285,21360,3236102208,6,295,0,45056,0,1
708992537,33167,2,17920,42488,1953602063,32768,0.0,40240,3221225536,8,96,0,69632,938552,1
1343849858,258,11,186368,288203,493702,32832,2.9981009601241477,308910,3221225536,2,65,0,479232,485376,1
1439275449,258,12,494592,66500,681995,33088,3.890864162608617,227025,3221225536,1,68,0,634880,634880,1
1332736057,34,10,858112,5160,932347,33120,0.1551775753047697,856084,3221225536,3,50,0,24576,867840,1
1363078305,258,8,309760,5339,324349,34112,0.0,177152,3221225536,3,41,0,20480,318464,1
1348218768,258,11,707584,91735,871416,32832,4.634986254907805,671744,3221225536,3,101,0,835584,0,1
1285480849,34,10,28160,35116,111157,33088,2.343602113409405,58694,3221225536,3,74,0,102400,0,1
1444317661,259,12,905216,4096,1245256,33024,5.589698874177705,4714496,3758096416,21,24,0,4718592,1285728,1
1444565885,258,8,2048,123934,0,34112,0.1019104256627077,115748,1610612768,1,1,0,131072,0,1
1060194863,271,6,20480,86017,0,0,0.0,61440,3221225536,1,3,0,73728,0,1
1352445278,770,9,705536,852414,553865,33024,4.328407727792532,847872,3758096608,7,8,0,856064,0,1
1232376025,8462,6,94208,236898,0,0,0.0,274838,3221225536,0,0,0,0,0,1
1419326882,259,11,899584,114950,913461,33024,6.027021326627862,1118208,3758096416,6,9,0,1122304,869256,1
1260053446,271,6,119808,12860,0,32768,0.0,110488,3221225600,8,155,0,188416,426344,1
1395676233,259,10,16384,5426288,0,33024,0.0,5083136,3758096512,18,23,0,5431296,381968,1
708992537,33166,2,21504,49600,2459427,32768,0.0,47336,3221225536,11,114,0,86016,2423104,1
1260053532,271,6,308224,12538,582444,32768,0.0,298072,3221225600,8,155,0,614400,536736,1
1438594507,258,10,75776,58012,205533,33088,3.174084775881985,112856,3221225536,4,100,0,167936,182272,1
1349712831,258,11,312832,8736,390141,33792,1.5440761624171206,100860,3221225536,1,2,0,266240,340480,1
708992537,33166,2,21504,49600,2439290,32768,0.0,47336,3221225536,11,114,0,86016,2426424,1
1376746191,258,11,727040,100962,857939,32832,4.60009759326127,618714,3221225536,3,98,0,851968,0,1
1392115024,258,11,72192,15709,146514,33088,2.7194464648250785,70566,3221225536,7,105,0,122880,134656,1
1156748889,259,8,512000,1171456,0,0,4.527800525546648,638372,3758096416,12,566,0,843776,0,1
1329663709,783,2,20480,17191,259143,32768,0.0,109520,3224371328,8,155,0,212992,192392,1
1299813249,258,8,72704,249856,239382,33088,0.0,148581,3758096416,9,257,0,200704,222720,1
708992537,33166,2,565760,32264,0,0,0.0,559080,3221225536,7,69,0,57344,0,1
708992537,33167,2,17920,42488,640795483,32768,0.0,40240,3221225536,8,96,0,69632,821120,1
1354456809,258,11,717824,93365,908429,32832,4.775729880096023,671744,3221225536,3,101,0,835584,0,1
1371381754,271,1,512,9071,0,1,2.13537864968424,304640,3221225536,2,27,0,20480,0,1
1394725920,271,6,765952,1327291,0,0,0.0,680411,3758096480,14,628,0,1789952,0,1
1431926363,271,5,1024,4176,0,0,3.2137421535860136,729088,3758096416,3,7,0,0,0,1
1260053452,271,6,164864,12538,0,32768,0.0,154712,3221225600,8,155,0,237568,0,1
1354186250,271,6,122880,2821168,0,0,0.0,1462272,3758096512,16,21,0,2822144,0,1
708992537,33166,2,21504,49600,2391421,32768,0.0,47336,3221225536,11,114,0,86016,2323056,1
